id_alignrec,posdeg_alignrec,id_anchor,posdeg_anchor,id_alignrec_anchor,posdeg_alignrec_anchor,alignrec_label,anchor_label,alignrec_anchor_label
7439,5,4664,8,9935,6,cold,normal,normal
13095,12,15583,5,8071,5,normal,cold,cold
19366,5,3247,5,8846,9,cold,cold,normal
19365,5,55,5,993,6,cold,cold,normal
10906,7,19390,6,7016,5,normal,normal,cold
8086,11,17739,6,10849,12,normal,normal,normal
13066,9,59,8,6161,7,normal,normal,normal
15594,11,3766,7,7471,8,normal,normal,normal
12778,5,15906,6,6930,7,cold,normal,normal
10385,13,13251,6,6755,5,normal,normal,cold
10372,9,8969,11,8319,5,normal,normal,cold
18232,5,9940,11,13207,6,cold,normal,normal
10749,6,19378,8,18328,7,normal,normal,normal
6221,9,14129,9,55,5,normal,normal,cold
16306,6,4167,10,7248,11,normal,normal,normal
12982,5,12529,5,5103,8,cold,cold,normal
2077,5,13738,10,903,7,cold,normal,normal
16305,5,12533,7,15594,11,cold,normal,normal
18328,7,449,10,1380,5,normal,normal,cold
18873,5,17071,12,5144,6,cold,normal,normal
