id_alignrec,posdeg_alignrec,id_anchor,posdeg_anchor,id_alignrec_anchor,posdeg_alignrec_anchor
7439,5,4664,8,9935,6
13095,12,15583,5,8071,5
19366,5,3247,5,8846,9
19365,5,55,5,993,6
10906,7,19390,6,7016,5
8086,11,17739,6,10849,12
13066,9,59,8,6161,7
15594,11,3766,7,7471,8
12778,5,15906,6,6930,7
10385,13,13251,6,6755,5
10372,9,8969,11,8319,5
18232,5,9940,11,13207,6
10749,6,19378,8,18328,7
6221,9,14129,9,55,5
16306,6,4167,10,7248,11
12982,5,12529,5,5103,8
2077,5,13738,10,903,7
16305,5,12533,7,15594,11
18328,7,449,10,1380,5
18873,5,17071,12,5144,6
