user_id,recall@20,ndcg@20,mean_score,pos_degree,total_interactions,score_bin
883,1.0,1.0,1.0,6,6,one
3012,1.0,1.0,1.0,5,5,one
17843,1.0,1.0,1.0,8,8,one
17970,1.0,1.0,1.0,5,5,one
5089,1.0,1.0,1.0,5,5,one
18656,1.0,1.0,1.0,5,5,one
19118,1.0,1.0,1.0,5,5,one
12461,1.0,1.0,1.0,6,6,one
15037,1.0,1.0,1.0,5,5,one
13331,1.0,1.0,1.0,5,5,one
11854,1.0,1.0,1.0,6,6,one
6660,1.0,1.0,1.0,9,9,one
4256,1.0,1.0,1.0,8,8,one
19353,1.0,1.0,1.0,5,5,one
4974,1.0,1.0,1.0,6,6,one
15498,1.0,1.0,1.0,5,5,one
10755,1.0,1.0,1.0,8,8,one
7566,1.0,1.0,1.0,8,8,one
18850,1.0,1.0,1.0,7,7,one
7285,1.0,1.0,1.0,5,5,one
104,1.0,1.0,1.0,10,10,one
9831,1.0,1.0,1.0,6,6,one
17188,1.0,1.0,1.0,8,8,one
11325,1.0,1.0,1.0,5,5,one
19113,1.0,1.0,1.0,8,8,one
16316,1.0,1.0,1.0,7,7,one
6504,1.0,1.0,1.0,7,7,one
8846,1.0,1.0,1.0,9,9,one
10062,1.0,1.0,1.0,5,5,one
13178,1.0,1.0,1.0,6,6,one
13738,1.0,1.0,1.0,10,10,one
1833,1.0,0.7527425,0.87637125,16,16,Q4
2654,1.0,0.6539771,0.82698855,25,25,Q4
10138,1.0,0.63092977,0.8154648849999999,10,10,Q4
14621,1.0,0.63092977,0.8154648849999999,5,5,Q4
3375,1.0,0.63092977,0.8154648849999999,6,6,Q4
13078,1.0,0.63092977,0.8154648849999999,5,5,Q4
14604,1.0,0.63092977,0.8154648849999999,6,6,Q4
449,1.0,0.63092977,0.8154648849999999,10,10,Q4
10999,1.0,0.63092977,0.8154648849999999,6,6,Q4
9703,1.0,0.63092977,0.8154648849999999,8,8,Q4
5281,1.0,0.63092977,0.8154648849999999,11,11,Q4
5342,1.0,0.63092977,0.8154648849999999,8,8,Q4
1844,1.0,0.63092977,0.8154648849999999,5,5,Q4
7248,1.0,0.63092977,0.8154648849999999,11,11,Q4
986,1.0,0.63092977,0.8154648849999999,7,7,Q4
8071,1.0,0.63092977,0.8154648849999999,5,5,Q4
7002,1.0,0.63092977,0.8154648849999999,6,6,Q4
11934,1.0,0.63092977,0.8154648849999999,11,11,Q4
13096,1.0,0.63092977,0.8154648849999999,5,5,Q4
13427,1.0,0.63092977,0.8154648849999999,5,5,Q4
10876,1.0,0.63092977,0.8154648849999999,5,5,Q4
4044,1.0,0.63092977,0.8154648849999999,5,5,Q4
8163,1.0,0.63092977,0.8154648849999999,11,11,Q4
15916,1.0,0.63092977,0.8154648849999999,6,6,Q4
14233,1.0,0.63092977,0.8154648849999999,12,12,Q4
5608,1.0,0.63092977,0.8154648849999999,6,6,Q4
15270,1.0,0.63092977,0.8154648849999999,8,8,Q4
12619,1.0,0.63092977,0.8154648849999999,5,5,Q4
841,1.0,0.63092977,0.8154648849999999,5,5,Q4
9981,1.0,0.63092977,0.8154648849999999,6,6,Q4
4512,1.0,0.63092977,0.8154648849999999,5,5,Q4
940,1.0,0.63092977,0.8154648849999999,6,6,Q4
