rule	AlignRec text	AnchorRec text	text diff	AlignRec vision	AnchorRec vision	vision diff
metric=top2 text sim/top3 vision sim; rows=bottom_n:500; agg=mean; selected separately per model/modality	0.123173	0.251522	0.128350	0.119139	0.134068	0.014929
metric=top3 text sim/top3 vision sim; rows=bottom_n:500; agg=mean; selected separately per model/modality	0.122955	0.241444	0.118490	0.119139	0.134068	0.014929
metric=top1 text sim/top2 vision sim; rows=q0.0-q0.2; agg=mean; selected separately per model/modality	0.205716	0.412791	0.207075	0.169220	0.183316	0.014096
metric=top2 text sim/top2 vision sim; rows=q0.0-q0.2; agg=mean; selected separately per model/modality	0.183160	0.371002	0.187841	0.169220	0.183316	0.014096
metric=top3 text sim/top2 vision sim; rows=q0.0-q0.2; agg=mean; selected separately per model/modality	0.177662	0.349718	0.172056	0.169220	0.183316	0.014096
metric=text mean/vision mean; rows=bottom_n:50; agg=mean; selected separately per model/modality	0.111031	0.190671	0.079640	0.113590	0.126975	0.013385
metric=top3 text sim/top2 vision sim; rows=bottom_n:50; agg=mean; selected separately per model/modality	0.034517	0.122278	0.087761	0.070140	0.083421	0.013281
metric=top2 text sim/top2 vision sim; rows=bottom_n:50; agg=mean; selected separately per model/modality	0.041725	0.105977	0.064253	0.070140	0.083421	0.013281
metric=top1 text sim/top2 vision sim; rows=bottom_n:50; agg=mean; selected separately per model/modality	0.062784	0.116055	0.053271	0.070140	0.083421	0.013281
metric=top3 text sim/top3 vision sim; rows=bottom_n:100; agg=mean; selected separately per model/modality	0.058169	0.150593	0.092424	0.080679	0.093838	0.013160
metric=top2 text sim/top3 vision sim; rows=bottom_n:100; agg=mean; selected separately per model/modality	0.058730	0.138275	0.079545	0.080679	0.093838	0.013160
metric=top1 text sim/top3 vision sim; rows=bottom_n:100; agg=mean; selected separately per model/modality	0.083145	0.153408	0.070263	0.080679	0.093838	0.013160
metric=top3 text sim/top2 vision sim; rows=bottom_n:200; agg=mean; selected separately per model/modality	0.083752	0.183044	0.099292	0.097720	0.110800	0.013080
metric=top2 text sim/top2 vision sim; rows=bottom_n:200; agg=mean; selected separately per model/modality	0.082174	0.180998	0.098824	0.097720	0.110800	0.013080
metric=top1 text sim/top2 vision sim; rows=bottom_n:200; agg=mean; selected separately per model/modality	0.108334	0.198398	0.090064	0.097720	0.110800	0.013080
metric=top3 text sim/top3 vision sim; rows=bottom_n:200; agg=mean; selected separately per model/modality	0.083752	0.183044	0.099292	0.095791	0.108868	0.013077
metric=top2 text sim/top3 vision sim; rows=bottom_n:200; agg=mean; selected separately per model/modality	0.082174	0.180998	0.098824	0.095791	0.108868	0.013077
metric=top1 text sim/top3 vision sim; rows=bottom_n:200; agg=mean; selected separately per model/modality	0.108334	0.198398	0.090064	0.095791	0.108868	0.013077
metric=top3 text sim/top3 vision sim; rows=bottom_n:50; agg=mean; selected separately per model/modality	0.034517	0.122278	0.087761	0.068959	0.081906	0.012947
metric=top2 text sim/top3 vision sim; rows=bottom_n:50; agg=mean; selected separately per model/modality	0.041725	0.105977	0.064253	0.068959	0.081906	0.012947
metric=top1 text sim/top3 vision sim; rows=bottom_n:50; agg=mean; selected separately per model/modality	0.062784	0.116055	0.053271	0.068959	0.081906	0.012947
metric=top3 text sim/top2 vision sim; rows=bottom_n:100; agg=mean; selected separately per model/modality	0.058169	0.150593	0.092424	0.083087	0.095777	0.012690
metric=top2 text sim/top2 vision sim; rows=bottom_n:100; agg=mean; selected separately per model/modality	0.058730	0.138275	0.079545	0.083087	0.095777	0.012690
metric=top1 text sim/top2 vision sim; rows=bottom_n:100; agg=mean; selected separately per model/modality	0.083145	0.153408	0.070263	0.083087	0.095777	0.012690
metric=top1 text sim/top2 vision sim; rows=bottom_n:2000; agg=mean; selected separately per model/modality	0.233734	0.461764	0.228030	0.193657	0.205514	0.011857
metric=top2 text sim/top2 vision sim; rows=bottom_n:2000; agg=mean; selected separately per model/modality	0.209883	0.421553	0.211669	0.193657	0.205514	0.011857
metric=top3 text sim/top2 vision sim; rows=bottom_n:2000; agg=mean; selected separately per model/modality	0.201263	0.397437	0.196174	0.193657	0.205514	0.011857
metric=text mean/vision mean; rows=bottom_n:100; agg=mean; selected separately per model/modality	0.131214	0.219293	0.088079	0.127976	0.139013	0.011037
metric=top3 text sim/top1 vision sim; rows=bottom_n:50; agg=mean; selected separately per model/modality	0.034517	0.122278	0.087761	0.075513	0.086277	0.010764
metric=top2 text sim/top1 vision sim; rows=bottom_n:50; agg=mean; selected separately per model/modality	0.041725	0.105977	0.064253	0.075513	0.086277	0.010764
metric=top1 text sim/top1 vision sim; rows=bottom_n:50; agg=mean; selected separately per model/modality	0.062784	0.116055	0.053271	0.075513	0.086277	0.010764
metric=top1 text sim/top1 vision sim; rows=bottom_n:500; agg=mean; selected separately per model/modality	0.146365	0.281077	0.134712	0.134713	0.144781	0.010068
metric=top2 text sim/top1 vision sim; rows=bottom_n:500; agg=mean; selected separately per model/modality	0.123173	0.251522	0.128350	0.134713	0.144781	0.010068
