model | avg 2hop | text 1 | text 2 | text 3 | vision 1 | vision 2 | vision 3
AlignRec | 282.030827 | 0.502158 | 0.443258 | 0.413667 | 0.526912 | 0.458889 | 0.422718
AnchorRec | 208.799953 | 0.683512 | 0.650031 | 0.628232 | 0.418326 | 0.393236 | 0.381007
FREEDOM | 215.842600 | 0.746958 | 0.709486 | 0.684025 | 0.445531 | 0.414199 | 0.397235
DAMRS | 275.556785 | 0.631324 | 0.596905 | 0.576855 | 0.471616 | 0.444015 | 0.424744
BM3 | 407.979243 | 0.338826 | 0.324908 | 0.315722 | 0.258307 | 0.251965 | 0.250726
LATTICE | 291.758014 | 0.525342 | 0.464337 | 0.425254 | 0.394089 | 0.343485 | 0.315275
LGMRec | 296.906336 | 0.582129 | 0.548128 | 0.527185 | 0.415601 | 0.384603 | 0.370198
SMORE | 242.788180 | 0.713324 | 0.665849 | 0.633205 | 0.498026 | 0.449695 | 0.423433
VBPR | 177.692388 | 0.444682 | 0.392971 | 0.373820 | 0.470244 | 0.420803 | 0.406280
